"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"355F8MSY","preprint","2023","OpenAI","GPT-4 Technical Report","","","","","http://arxiv.org/abs/2303.08774","We report the development of GPT-4, a large-scale, multimodal model which can accept image and text inputs and produce text outputs. While less capable than humans in many real-world scenarios, GPT-4 exhibits human-level performance on various professional and academic benchmarks, including passing a simulated bar exam with a score around the top 10% of test takers. GPT-4 is a Transformer-based model pre-trained to predict the next token in a document. The post-training alignment process results in improved performance on measures of factuality and adherence to desired behavior. A core component of this project was developing infrastructure and optimization methods that behave predictably across a wide range of scales. This allowed us to accurately predict some aspects of GPT-4's performance based on models trained with no more than 1/1,000th the compute of GPT-4.","2023-03-27","2023-09-25 14:23:36","2023-10-22 05:13:34","2023-09-25 14:23:36","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2303.08774 [cs]","","C:\Users\ijyli\Zotero\storage\ZLQQGQUP\2303.html; C:\Users\ijyli\Zotero\storage\LM72BFL3\OpenAI - 2023 - GPT-4 Technical Report.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Computation and Language","","","","","","","","","","","","","","","","","","","arXiv:2303.08774","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F37GLVE7","preprint","2023","Cheng, Liying; Li, Xingxuan; Bing, Lidong","Is GPT-4 a Good Data Analyst?","","","","","http://arxiv.org/abs/2305.15038","As large language models (LLMs) have demonstrated their powerful capabilities in plenty of domains and tasks, including context understanding, code generation, language generation, data storytelling, etc., many data analysts may raise concerns if their jobs will be replaced by AI. This controversial topic has drawn a lot of attention in public. However, we are still at a stage of divergent opinions without any definitive conclusion. Motivated by this, we raise the research question of ""is GPT-4 a good data analyst?"" in this work and aim to answer it by conducting head-to-head comparative studies. In detail, we regard GPT-4 as a data analyst to perform end-to-end data analysis with databases from a wide range of domains. We propose a framework to tackle the problems by carefully designing the prompts for GPT-4 to conduct experiments. We also design several task-specific evaluation metrics to systematically compare the performance between several professional human data analysts and GPT-4. Experimental results show that GPT-4 can achieve comparable performance to humans. We also provide in-depth discussions about our results to shed light on further studies before we reach the conclusion that GPT-4 can replace data analysts.","2023-05-24","2023-09-25 14:24:06","2023-09-25 14:24:06","2023-09-25 14:24:06","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2305.15038 [cs]","","C:\Users\ijyli\Zotero\storage\4N77GWHJ\2305.html; C:\Users\ijyli\Zotero\storage\QDTTIL6T\Cheng et al. - 2023 - Is GPT-4 a Good Data Analyst.pdf","","","Computer Science - Computation and Language","","","","","","","","","","","","","","","","","","","arXiv:2305.15038","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65DI4GGM","newspaperArticle","2023","Roose, Kevin","A Conversation With Bing’s Chatbot Left Me Deeply Unsettled","The New York Times","","0362-4331","","https://www.nytimes.com/2023/02/16/technology/bing-chatbot-microsoft-chatgpt.html","A very strange conversation with the chatbot built into Microsoft’s search engine led to it declaring its love for me.","2023-02-16","2023-09-25 15:33:45","2023-09-25 15:33:45","2023-09-25 15:33:45","","","","","","","","","","","","","","en-US","","","","","NYTimes.com","","","","C:\Users\ijyli\Zotero\storage\XQCJKDEG\bing-chatbot-microsoft-chatgpt.html","","","Artificial Intelligence; ChatGPT; Computers and the Internet; Conversation; internal-sub-only; Microsoft Corp; OpenAI Labs; Search Engines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Technology","","","",""
"HLYY654Y","forumPost","2023","Ethan Mollick [@emollick]","I have a strong suspicion that “prompt engineering” is not going to be a big deal in the long-term & prompt engineer is not the job of the future AI gets easier. You can already see in Midjourney how basic prompts went from complex in v3 to easy in v4. Same with ChatGPT to Bing. https://t.co/BTtSN4oVF4","Twitter","","","","https://twitter.com/emollick/status/1627804798224580608","","2023-02-20","2023-09-26 02:53:27","2023-09-26 02:53:27","2023-09-26 02:53:27","","","","","","","","","","","","","","en","","Tweet","","","","","","","; C:\Users\ijyli\Zotero\storage\EUFKYTRM\1627804798224580608.html","https://t.co/BTtSN4oVF4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H445H9N6","conferencePaper","2022","Wu, Tongshuang; Terry, Michael; Cai, Carrie Jun","AI Chains: Transparent and Controllable Human-AI Interaction by Chaining Large Language Model Prompts","CHI Conference on Human Factors in Computing Systems","978-1-4503-9157-3","","10.1145/3491102.3517582","https://dl.acm.org/doi/10.1145/3491102.3517582","","2022-04-29","2023-09-26 03:03:13","2023-09-26 03:03:13","2023-09-26 03:03:13","1-22","","","","","","AI Chains","","","","","ACM","New Orleans LA USA","en","","","","","DOI.org (Crossref)","","","","C:\Users\ijyli\Zotero\storage\G3NM64QK\Wu et al. - 2022 - AI Chains Transparent and Controllable Human-AI I.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHI '22: CHI Conference on Human Factors in Computing Systems","","","","","","","","","","","","","","",""
"U6WJMRWZ","magazineArticle","2023","Acar, Oguz A.","AI Prompt Engineering Isn’t the Future","Harvard Business Review","","0017-8012","","https://hbr.org/2023/06/ai-prompt-engineering-isnt-the-future","Despite the buzz surrounding it, the prominence of prompt engineering may be fleeting. A more enduring and adaptable skill will keep enabling us to harness the potential of generative AI? It is called problem formulation — the ability to identify, analyze, and delineate problems.","2023-06-06","2023-09-26 03:14:17","2023-09-26 03:14:17","2023-09-26 03:14:17","","","","","","","","","","","","","","","","","","","hbr.org","","Section: Technology and analytics","","C:\Users\ijyli\Zotero\storage\I72G55WX\ai-prompt-engineering-isnt-the-future.html","","","AI and machine learning; Algorithms; Analytics and data science; Automation; Cybersecurity and digital privacy; Data management; Enterprise computing; Information management; Technology and analytics; Web-based technologies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5YYT9DF3","preprint","2023","Diao, Shizhe; Wang, Pengcheng; Lin, Yong; Zhang, Tong","Active Prompting with Chain-of-Thought for Large Language Models","","","","","http://arxiv.org/abs/2302.12246","The increasing scale of large language models (LLMs) brings emergent abilities to various complex tasks requiring reasoning, such as arithmetic and commonsense reasoning. It is known that the effective design of task-specific prompts is critical for LLMs' ability to produce high-quality answers. In particular, an effective approach for complex question-and-answer tasks is example-based prompting with chain-of-thought (CoT) reasoning, which significantly improves the performance of LLMs. However, current CoT methods rely on a fixed set of human-annotated exemplars, which are not necessarily the most effective examples for different tasks. This paper proposes a new method, Active-Prompt, to adapt LLMs to different tasks with task-specific example prompts (annotated with human-designed CoT reasoning). For this purpose, we propose a solution to the key problem of determining which questions are the most important and helpful ones to annotate from a pool of task-specific queries. By borrowing ideas from the related problem of uncertainty-based active learning, we introduce several metrics to characterize the uncertainty so as to select the most uncertain questions for annotation. Experimental results demonstrate the superiority of our proposed method, achieving state-of-the-art on eight complex reasoning tasks. Further analyses of different uncertainty metrics, pool sizes, zero-shot learning, and accuracy-uncertainty relationship demonstrate the effectiveness of our method. Our code will be available at https://github.com/shizhediao/active-prompt.","2023-05-23","2023-09-26 03:15:01","2023-09-26 03:15:01","2023-09-26 03:15:01","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2302.12246 [cs]","","C:\Users\ijyli\Zotero\storage\WSCU8EX6\2302.html; C:\Users\ijyli\Zotero\storage\EZGKACIN\Diao et al. - 2023 - Active Prompting with Chain-of-Thought for Large L.pdf","","","Computer Science - Computation and Language","","","","","","","","","","","","","","","","","","","arXiv:2302.12246","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4BILARCH","webpage","","","PromptBase","","","","","https://promptbase.com","Search 100,000+ quality AI prompts from top prompt engineers. Produce better outputs, save on time & API costs, sell your own prompts.","","2023-09-26 03:15:17","2023-09-26 03:37:17","2023-09-26 03:15:17","","","","","","","PromptBase | Prompt Marketplace","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MI32YKHN","preprint","2023","Hebenstreit, Konstantin; Praas, Robert; Kiesewetter, Louis P.; Samwald, Matthias","An automatically discovered chain-of-thought prompt generalizes to novel models and datasets","","","","","http://arxiv.org/abs/2305.02897","Emergent chain-of-thought (CoT) reasoning capabilities promise to improve performance and explainability of large language models (LLMs). However, uncertainties remain about how reasoning strategies formulated for previous model generations generalize to new model generations and different datasets. In this small-scale study, we compare different reasoning strategies induced by zero-shot prompting across six recently released LLMs (davinci-002, davinci-003, GPT-3.5-turbo, GPT-4, Flan-T5-xxl and Cohere command-xlarge) on a mixture of six question-answering datasets, including datasets from scientific and medical domains. Our findings demonstrate that while some variations in effectiveness occur, gains from CoT reasoning strategies remain robust across different models and datasets. GPT-4 has the most benefit from current state-of-the-art reasoning strategies and exhibits the best performance by applying a prompt previously discovered through automated discovery.","2023-08-03","2023-09-26 03:15:36","2023-09-26 03:15:36","2023-09-26 03:15:36","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2305.02897 [cs]","","C:\Users\ijyli\Zotero\storage\EZIPW94R\2305.html; C:\Users\ijyli\Zotero\storage\9DQ7M9VQ\Hebenstreit et al. - 2023 - An automatically discovered chain-of-thought promp.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Computation and Language","","","","","","","","","","","","","","","","","","","arXiv:2305.02897","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HBGCI5CT","journalArticle","","Wei, Jason; Wang, Xuezhi; Schuurmans, Dale; Bosma, Maarten; Ichter, Brian; Xia, Fei; Chi, Ed H; Le, Quoc V; Zhou, Denny","Chain-of-Thought Prompting Elicits Reasoning in Large Language Models","","","","","","We explore how generating a chain of thought—a series of intermediate reasoning steps—signiﬁcantly improves the ability of large language models to perform complex reasoning. In particular, we show how such reasoning abilities emerge naturally in sufﬁciently large language models via a simple method called chain-ofthought prompting, where a few chain of thought demonstrations are provided as exemplars in prompting. Experiments on three large language models show that chain-of-thought prompting improves performance on a range of arithmetic, commonsense, and symbolic reasoning tasks. The empirical gains can be striking. For instance, prompting a PaLM 540B with just eight chain-of-thought exemplars achieves state-of-the-art accuracy on the GSM8K benchmark of math word problems, surpassing even ﬁnetuned GPT-3 with a veriﬁer.","","2023-09-26 03:15:52","2023-09-26 03:15:52","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\ijyli\Zotero\storage\8AG6AWPT\Wei et al. - Chain-of-Thought Prompting Elicits Reasoning in La.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LURSUVRC","preprint","2022","Zhang, Zhuosheng; Zhang, Aston; Li, Mu; Smola, Alex","Automatic Chain of Thought Prompting in Large Language Models","","","","","http://arxiv.org/abs/2210.03493","Large language models (LLMs) can perform complex reasoning by generating intermediate reasoning steps. Providing these steps for prompting demonstrations is called chain-of-thought (CoT) prompting. CoT prompting has two major paradigms. One leverages a simple prompt like ""Let's think step by step"" to facilitate step-by-step thinking before answering a question. The other uses a few manual demonstrations one by one, each composed of a question and a reasoning chain that leads to an answer. The superior performance of the second paradigm hinges on the hand-crafting of task-specific demonstrations one by one. We show that such manual efforts may be eliminated by leveraging LLMs with the ""Let's think step by step"" prompt to generate reasoning chains for demonstrations one by one, i.e., let's think not just step by step, but also one by one. However, these generated chains often come with mistakes. To mitigate the effect of such mistakes, we find that diversity matters for automatically constructing demonstrations. We propose an automatic CoT prompting method: Auto-CoT. It samples questions with diversity and generates reasoning chains to construct demonstrations. On ten public benchmark reasoning tasks with GPT-3, Auto-CoT consistently matches or exceeds the performance of the CoT paradigm that requires manual designs of demonstrations. Code is available at https://github.com/amazon-research/auto-cot","2022-10-07","2023-09-26 03:16:23","2023-09-26 03:16:23","2023-09-26 03:16:23","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2210.03493 [cs]","","C:\Users\ijyli\Zotero\storage\8TAIA3HA\2210.html; C:\Users\ijyli\Zotero\storage\BREVBII4\Zhang et al. - 2022 - Automatic Chain of Thought Prompting in Large Lang.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Computation and Language","","","","","","","","","","","","","","","","","","","arXiv:2210.03493","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46IQXEII","preprint","2023","Dhuliawala, Shehzaad; Komeili, Mojtaba; Xu, Jing; Raileanu, Roberta; Li, Xian; Celikyilmaz, Asli; Weston, Jason","Chain-of-Verification Reduces Hallucination in Large Language Models","","","","","http://arxiv.org/abs/2309.11495","Generation of plausible yet incorrect factual information, termed hallucination, is an unsolved issue in large language models. We study the ability of language models to deliberate on the responses they give in order to correct their mistakes. We develop the Chain-of-Verification (CoVe) method whereby the model first (i) drafts an initial response; then (ii) plans verification questions to fact-check its draft; (iii) answers those questions independently so the answers are not biased by other responses; and (iv) generates its final verified response. In experiments, we show CoVe decreases hallucinations across a variety of tasks, from list-based questions from Wikidata, closed book MultiSpanQA and longform text generation.","2023-09-25","2023-09-26 03:16:47","2023-09-26 03:16:47","2023-09-26 03:16:47","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2309.11495 [cs]","","C:\Users\ijyli\Zotero\storage\6HVW7SMC\2309.html","","","Computer Science - Artificial Intelligence; Computer Science - Computation and Language","","","","","","","","","","","","","","","","","","","arXiv:2309.11495","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N3RXJ67P","preprint","2022","Liu, Jiacheng; Liu, Alisa; Lu, Ximing; Welleck, Sean; West, Peter; Bras, Ronan Le; Choi, Yejin; Hajishirzi, Hannaneh","Generated Knowledge Prompting for Commonsense Reasoning","","","","","http://arxiv.org/abs/2110.08387","It remains an open question whether incorporating external knowledge benefits commonsense reasoning while maintaining the flexibility of pretrained sequence models. To investigate this question, we develop generated knowledge prompting, which consists of generating knowledge from a language model, then providing the knowledge as additional input when answering a question. Our method does not require task-specific supervision for knowledge integration, or access to a structured knowledge base, yet it improves performance of large-scale, state-of-the-art models on four commonsense reasoning tasks, achieving state-of-the-art results on numerical commonsense (NumerSense), general commonsense (CommonsenseQA 2.0), and scientific commonsense (QASC) benchmarks. Generated knowledge prompting highlights large-scale language models as flexible sources of external knowledge for improving commonsense reasoning. Our code is available at https://github.com/liujch1998/GKP","2022-09-28","2023-09-26 03:17:22","2023-09-26 03:17:22","2023-09-26 03:17:22","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2110.08387 [cs]","","C:\Users\ijyli\Zotero\storage\QWF7MR96\2110.html; C:\Users\ijyli\Zotero\storage\74ILI65I\Liu et al. - 2022 - Generated Knowledge Prompting for Commonsense Reas.pdf","","","Computer Science - Computation and Language","","","","","","","","","","","","","","","","","","","arXiv:2110.08387","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PE8QEAAL","webpage","2023","Shackell, Cameron","Prompt engineering: is being an AI 'whisperer' the job of the future or a short-lived fad?","The Conversation","","","","http://theconversation.com/prompt-engineering-is-being-an-ai-whisperer-the-job-of-the-future-or-a-short-lived-fad-211833","Media articles and influencers have helped give the impression that prompt engineering could be a ticket to a six-figure salary. The reality, as always, is a different story.","2023-08-28","2023-09-26 03:29:08","2023-09-26 03:29:08","2023-09-26 03:29:08","","","","","","","Prompt engineering","","","","","","","en","","","","","","","","","C:\Users\ijyli\Zotero\storage\A6IN6CYE\prompt-engineering-is-being-an-ai-whisperer-the-job-of-the-future-or-a-short-lived-fad-211833.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
