paper title,semantic scholar title,ss_publication_date,ss_year,citation_count,query,end_date,days_from_pub_to_10_8_2023,citations_per_day
Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,Chain of Thought Prompting Elicits Reasoning in Large Language Models,2022-01-28,2022,1871,Chain of Thought Prompting Elicits Reasoning in Large Language Models,2023-10-08,618.0,3.027508090614887
Tree of Thoughts: Deliberate Problem Solving with Large Language Models,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,2023-05-17,2023,185,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,2023-10-08,144.0,1.2847222222222223
Self-consistency improves chain of thought reasoning in language models,Self-Consistency Improves Chain of Thought Reasoning in Language Models,2022-03-21,2022,578,Self consistency improves chain of thought reasoning in language models,2023-10-08,566.0,1.0212014134275618
Self-Refine: Iterative Refinement with Self-Feedback,Self-Refine: Iterative Refinement with Self-Feedback,2023-03-30,2023,158,Self Refine: Iterative Refinement with Self Feedback,2023-10-08,192.0,0.8229166666666666
ReAct: Synergizing Reasoning and Acting in Language Models,ReAct: Synergizing Reasoning and Acting in Language Models,2022-10-06,2022,285,ReAct: Synergizing Reasoning and Acting in Language Models,2023-10-08,367.0,0.776566757493188
Least-to-most prompting enables complex reasoning in large language models,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,2022-05-21,2022,333,Least to most prompting enables complex reasoning in large language models,2023-10-08,505.0,0.6594059405940594
Large Language Models Are Human-Level Prompt Engineers,Large Language Models Are Human-Level Prompt Engineers,2022-11-03,2022,160,Large Language Models Are Human Level Prompt Engineers,2023-10-08,339.0,0.471976401179941
Multimodal Chain-of-Thought Reasoning in Language Models,Multimodal Chain-of-Thought Reasoning in Language Models,2023-02-02,2023,79,Multimodal Chain of Thought Reasoning in Language Models,2023-10-08,248.0,0.3185483870967742
Complexity-Based Prompting for Multi-Step Reasoning,Complexity-Based Prompting for Multi-Step Reasoning,2022-10-03,2022,102,Complexity Based Prompting for Multi Step Reasoning,2023-10-08,370.0,0.2756756756756757
ART: Automatic multi-step reasoning and tool-use for large language models,ART: Automatic multi-step reasoning and tool-use for large language models,2023-03-16,2023,37,ART: Automatic multi step reasoning and tool use for large language models,2023-10-08,206.0,0.1796116504854369
Chain-of-Verification Reduces Hallucination in Large Language Models,Chain-of-Verification Reduces Hallucination in Large Language Models,2023-09-20,2023,3,Chain of Verification Reduces Hallucination in Large Language Models,2023-10-08,18.0,0.16666666666666666
Maieutic Prompting: Logically Consistent Reasoning with Recursive Explanations,Maieutic Prompting: Logically Consistent Reasoning with Recursive Explanations,2022-05-24,2022,79,Maieutic Prompting: Logically Consistent Reasoning with Recursive Explanations,2023-10-08,502.0,0.15737051792828685
Generated Knowledge Prompting for Commonsense Reasoning,Generated Knowledge Prompting for Commonsense Reasoning,2021-10-15,2021,104,Generated Knowledge Prompting for Commonsense Reasoning,2023-10-08,723.0,0.14384508990318118
Active Prompting with Chain-of-Thought for Large Language Models,Active Prompting with Chain-of-Thought for Large Language Models,2023-02-23,2023,27,Active Prompting with Chain of Thought for Large Language Models,2023-10-08,227.0,0.11894273127753303
GraphPrompt: Unifying Pre-Training and Downstream Tasks for Graph Neural Networks,GraphPrompt: Unifying Pre-Training and Downstream Tasks for Graph Neural Networks,2023-02-16,2023,13,GraphPrompt: Unifying Pre Training and Downstream Tasks for Graph Neural Networks,2023-10-08,234.0,0.05555555555555555
Guiding Large Language Models via Directional Stimulus Prompting,Guiding Large Language Models via Directional Stimulus Prompting,2023-02-22,2023,8,Guiding Large Language Models via Directional Stimulus Prompting,2023-10-08,228.0,0.03508771929824561
