paper title,semantic scholar title,ss_publication_date,ss_year,citation_count,query,end_date,days_from_pub_to_10_8_2023,citations_per_day
Language Models are Few-Shot Learners ,Language Models are Few-Shot Learners,2020-05-28,2020,15624,Language Models are Few Shot Learners ,2023-10-08,1228.0,12.723127035830618
Chain of Thought Prompting Elicits Reasoning in Large Language Models ,Chain of Thought Prompting Elicits Reasoning in Large Language Models,2022-01-28,2022,1871,Chain of Thought Prompting Elicits Reasoning in Large Language Models ,2023-10-08,618.0,3.027508090614887
The Power of Scale for Parameter-Efficient Prompt Tuning ,The Power of Scale for Parameter-Efficient Prompt Tuning,2021-04-18,2021,1449,The Power of Scale for Parameter Efficient Prompt Tuning ,2023-10-08,903.0,1.6046511627906976
Large Language Models are Zero-Shot Reasoners ,Large Language Models are Zero-Shot Reasoners,2022-05-24,2022,776,Large Language Models are Zero Shot Reasoners ,2023-10-08,502.0,1.545816733067729
Tree of Thoughts: Deliberate Problem Solving with Large Language Models ,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,2023-05-17,2023,185,Tree of Thoughts: Deliberate Problem Solving with Large Language Models ,2023-10-08,144.0,1.2847222222222223
Making Pre-trained Language Models Better Few-shot Learners ,Making Pre-trained Language Models Better Few-shot Learners,2021-01-01,2021,1037,Making Pre trained Language Models Better Few shot Learners ,2023-10-08,1010.0,1.0267326732673268
Making Pre-trained Language Models Better Few-shot Learners ,Making Pre-trained Language Models Better Few-shot Learners,2021-01-01,2021,1037,Making Pre trained Language Models Better Few shot Learners ,2023-10-08,1010.0,1.0267326732673268
Self-Consistency Improves Chain of Thought Reasoning in Language Models ,Self-Consistency Improves Chain of Thought Reasoning in Language Models,2022-03-21,2022,578,Self Consistency Improves Chain of Thought Reasoning in Language Models ,2023-10-08,566.0,1.0212014134275618
Self-Refine: Iterative Refinement with Self-Feedback ,Self-Refine: Iterative Refinement with Self-Feedback,2023-03-30,2023,158,Self Refine: Iterative Refinement with Self Feedback ,2023-10-08,192.0,0.8229166666666666
ReAct: Synergizing Reasoning and Acting in Language Models ,ReAct: Synergizing Reasoning and Acting in Language Models,2022-10-06,2022,285,ReAct: Synergizing Reasoning and Acting in Language Models ,2023-10-08,367.0,0.776566757493188
Rethinking the Role of Demonstrations: What Makes In-Context Learning Work? ,Rethinking the Role of Demonstrations: What Makes In-Context Learning Work?,2022-02-25,2022,387,Rethinking the Role of Demonstrations: What Makes In Context Learning Work? ,2023-10-08,590.0,0.6559322033898305
